"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"NGA",-1.428,0.824,0.887,1.088,0.782,2.03,1.459,0.562,-0.489,0.361,1.158,-0.157,0.312,-0.207,0.948
"NOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAK",-11.588,-12.935,-10.857,-25.063,-0.899,-15.492,-17.677,-23.461,1.943,-7.517,-11.691,5.895,2.984,1.86,-11.344
"PAN",-0.382,-2.615,-1.564,-2.345,-2.861,0.641,-1.435,0.439,-3.458,3.244,4.372,-2.827,3.836,7.558,3.824
"PNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRY",-8.58,-3.571,-2.821,-8.874,-2.567,-1.862,0.889,-4.46,0.027,-3.468,-5.224,-5.328,-0.464,0.373,-3.327
"PER",-0.253,-2.756,-6.274,-9.589,-3.994,-7.204,-6.574,-7.994,3.082,-8.584,-9.047,5.07,-6.173,-11.747,-1.435
"PHL",-0.189,-1.377,-0.283,-0.572,-0.022,0.603,-1.121,0.781,0.264,-1.088,0.275,0.423,0.402,-0.975,-0.462
"POL",-27.174,-57.3,-53.08,-51.082,-30.643,-37.578,-38.059,-22.945,-14.644,-14.796,-23.425,-8.102,-16.763,-11.877,-11.197
"PRT",0.021,-5.537,-8.207,-5.135,-1.774,-3.866,-7.53,-2.356,-2.016,-1.589,-0.141,-3.685,-1.483,-3.914,-0.636
"QAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOR",-5.462,-7.106,-3.134,-6.143,-8.334,0.171,-13.807,0.598,-6.788,-6.655,-6.948,-12.628,-0.219,4.955,0.631
"MDA",-7.979,-22.04,-23.081,-15.841,-11.6,2.06,-12.64,-9.272,-14.053,-3.735,-12.995,-11.666,-6.225,-6.483,15.825
"ROU",8.958,-2.801,-6.165,-5.936,6.322,0.9,-0.489,-5.84,-4.465,-4.453,1.166,4.652,0.526,-1.23,9.204
"RUS",-39.541,-57.772,-54.729,-50.806,-46.546,-39.568,-31.333,-30.738,-26.502,-19.44,-25.018,-13.593,-16.653,-22.229,-4.58
"RWA",-6.632,-4.247,-11.528,-4.845,-3.838,0.776,1.909,-1.966,-5.305,3.351,-2.564,-0.836,-0.851,2.859,-0.986
"KNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
